# step Etot Epot T p 
518 -7947.0036 -7947.0036 0.0 323.7385 
519 -7947.0036 -7947.0036 0.0 323.7372 
520 -7947.0036 -7947.0036 0.0 323.7369 
521 -7924.1023 -7924.1023 0.0 322.7497 
522 -7955.3482 -7955.3482 0.0 323.759 
523 -7936.557 -7936.557 0.0 317.9466 
524 -7963.3527 -7963.3527 0.0 321.9761 
525 -7947.7574 -7947.7574 0.0 322.9053 
526 -7971.0421 -7971.0421 0.0 322.5697 
527 -7955.0793 -7955.0793 0.0 316.3462 
528 -7977.7951 -7977.7951 0.0 320.6531 
529 -7966.496 -7966.496 0.0 324.9357 
530 -7984.416 -7984.416 0.0 322.5393 
531 -7977.529 -7977.529 0.0 332.1797 
532 -7991.0069 -7991.0069 0.0 326.7371 
533 -7983.7291 -7983.7291 0.0 324.0445 
534 -7996.9176 -7996.9176 0.0 325.8801 
535 -7996.7884 -7996.7884 0.0 325.726 
536 -7996.9166 -7996.9166 0.0 325.8649 
537 -7996.9176 -7996.9176 0.0 325.8785 
538 -7992.4941 -7992.4941 0.0 321.9264 
539 -8002.8472 -8002.8472 0.0 324.3786 
540 -8002.7454 -8002.7454 0.0 324.1572 
541 -8002.8463 -8002.8463 0.0 324.3567 
